Time,Ping (ms),Download (Mbit/s),Upload (Mbit/s)
2019-10-03T05:20:39.975040,21.894,23.52,6.01
2019-10-03T05:40:39.561755,23.322,27.68,5.94
2019-10-03T06:00:40.070424,23.023,25.96,5.98
2019-10-03T06:20:40.292436,22.277,20.76,5.96
2019-10-03T06:40:39.902314,22.55,27.15,5.93
2019-10-03T07:00:42.355911,22.676,28.10,5.96
2019-10-03T07:20:39.749337,22.157,28.09,5.99
2019-10-03T07:40:40.751568,21.97,27.92,5.98
2019-10-03T08:00:40.290460,22.054,26.78,6.04
2019-10-03T08:20:40.030160,21.839,28.10,5.93
2019-10-03T08:40:39.440434,21.784,28.14,6.02
2019-10-03T09:00:40.344042,22.357,27.49,5.89
2019-10-03T09:20:40.203270,22.335,27.78,5.99
2019-10-03T09:40:39.560229,21.738,27.96,5.96
2019-10-03T10:00:40.059645,22.173,27.83,5.98
2019-10-03T10:20:39.936056,22.475,28.47,5.98
2019-10-03T10:40:39.901659,21.856,27.08,5.94
2019-10-03T11:00:39.413067,22.122,27.23,5.99
2019-10-03T11:20:40.676059,22.444,26.80,5.86
2019-10-03T11:40:40.429131,22.205,27.77,5.89
2019-10-03T12:00:40.197542,22.369,28.81,5.85
2019-10-03T12:20:39.744832,21.957,27.31,6.01
2019-10-03T12:40:40.393744,22.667,27.99,5.94
2019-10-03T13:00:39.806392,22.068,27.84,5.95
2019-10-03T13:20:39.517965,22.051,28.84,5.92
2019-10-03T13:40:39.806807,21.982,28.27,5.88
2019-10-03T14:00:39.361621,22.058,28.65,5.86
2019-10-03T14:20:40.125771,22.15,27.70,5.99
2019-10-03T14:40:39.824097,22.169,27.15,5.94
2019-10-03T15:00:39.391265,22.184,27.68,5.96
2019-10-03T15:20:40.643521,22.497,27.12,5.87
2019-10-03T15:40:40.254547,22.308,26.22,5.96
2019-10-03T16:00:39.850428,24.015,27.46,5.91
2019-10-03T16:20:39.649858,22.103,27.93,6.05
2019-10-03T16:40:40.301258,23.655,27.52,5.97
2019-10-03T17:00:39.749329,22.099,27.82,5.99
2019-10-03T17:20:39.969688,21.907,27.42,5.91
2019-10-03T17:40:39.461343,22.255,27.45,6.03
2019-10-03T18:00:39.903043,22.392,26.95,6.04
2019-10-03T18:20:39.597818,22.713,23.42,5.99
2019-10-03T18:40:40.180990,22.341,17.36,5.98
2019-10-03T19:00:39.868141,22.825,27.82,5.88
2019-10-03T19:20:39.831888,22.104,27.39,6.02
2019-10-03T19:40:39.367959,22.174,27.87,5.90
2019-10-03T20:00:40.078486,21.94,25.36,5.87
2019-10-03T20:20:40.030885,22.13,24.38,6.06
2019-10-03T20:40:39.711792,21.963,24.25,6.03
2019-10-03T21:00:40.463255,22.774,25.95,6.03
2019-10-03T21:20:41.886750,22.004,16.37,5.95
2019-10-03T21:40:39.591564,22.151,27.08,5.90
2019-10-03T22:00:40.080888,21.939,28.06,5.98
2019-10-03T22:20:40.143030,22.213,28.08,5.97
2019-10-03T22:40:39.701151,22.2,27.45,6.03
2019-10-03T23:00:40.408786,21.996,27.29,6.00
2019-10-03T23:20:40.032456,22.158,29.20,5.94
2019-10-03T23:40:40.028750,22.397,27.27,5.99
2019-10-04T00:00:39.870361,21.723,27.72,5.91
2019-10-04T00:20:39.824395,22.329,17.66,6.00
2019-10-04T00:40:39.344181,22.73,28.12,6.04
2019-10-04T01:00:39.992470,22.14,28.49,6.00
2019-10-04T01:20:39.946517,22.318,23.28,5.97
2019-10-04T01:40:39.446555,22.936,27.18,6.01
2019-10-04T02:00:40.143962,23.808,28.63,5.91
2019-10-04T02:20:40.033232,21.994,27.91,6.05
2019-10-04T02:40:44.631501,22.78,24.11,5.81
2019-10-04T03:00:39.990409,22.328,27.45,5.96
2019-10-04T03:20:39.964841,22.685,27.10,5.96
2019-10-04T03:40:39.710488,23.063,28.78,5.99
2019-10-04T04:00:40.846731,23.02,28.89,5.82
2019-10-04T04:20:39.763850,24.463,28.36,5.89
2019-10-04T04:40:40.412541,22.865,27.91,5.89
2019-10-04T05:00:40.971471,22.971,24.95,6.05
2019-10-04T05:20:40.062561,23.129,28.16,5.95
2019-10-04T05:40:39.824983,22.348,27.17,5.99
2019-10-04T06:00:39.452484,22.731,27.13,5.97
2019-10-04T06:20:40.257885,23.245,28.39,6.05
2019-10-04T06:40:39.688473,22.29,26.88,5.84
2019-10-04T07:00:42.994367,22.387,26.52,6.01
2019-10-04T07:20:40.079182,22.219,28.07,5.96
2019-10-04T07:40:39.326931,22.224,27.09,5.97
2019-10-04T08:00:39.752495,22.695,28.16,6.04
2019-10-04T08:20:39.823275,22.005,26.92,5.94
2019-10-04T08:40:49.047537,20.942,28.01,3.08
2019-10-04T09:00:49.552808,22.181,26.95,5.91
2019-10-04T09:20:39.430003,22.413,26.19,5.95
2019-10-04T09:40:40.449642,22.627,27.76,5.91
2019-10-04T10:00:40.055062,22.18,27.65,6.01
2019-10-04T10:20:40.068785,21.913,27.97,5.89
2019-10-04T10:40:39.604718,21.944,27.56,5.90
2019-10-04T11:00:40.315940,21.884,27.10,5.92
2019-10-04T11:20:40.040510,21.612,27.98,5.97
2019-10-04T11:40:39.779681,21.998,27.84,5.90
2019-10-04T12:00:39.633062,22.945,28.30,6.05
2019-10-04T12:20:39.450910,22.353,27.38,5.95
2019-10-04T12:40:40.135703,21.977,28.89,5.86
2019-10-04T13:00:39.794857,22.208,28.45,5.95
2019-10-04T13:20:39.635039,21.858,27.98,5.95
2019-10-04T13:40:39.975927,22.274,27.76,5.94
2019-10-04T14:00:39.842872,21.983,28.52,5.94
2019-10-04T14:20:39.637936,23.448,27.45,6.04
2019-10-04T14:40:40.510424,22.676,28.01,5.69
2019-10-04T15:00:40.320304,22.323,27.07,5.90
2019-10-04T15:20:40.504461,22.485,27.83,5.78
2019-10-04T15:40:40.315954,22.779,28.53,5.75
2019-10-04T16:00:39.806194,22.582,28.10,5.98
2019-10-04T16:20:39.718831,22.367,28.02,5.76
2019-10-04T16:40:40.420401,22.501,28.02,5.94
2019-10-04T17:00:39.989653,22.371,27.72,5.89
2019-10-04T17:20:39.665844,22.359,27.30,5.93
2019-10-04T17:40:40.244779,22.03,28.59,5.92
2019-10-04T18:00:40.370858,22.583,26.53,5.87
2019-10-04T18:20:40.377315,22.762,27.83,5.99
2019-10-04T18:40:40.323599,22.019,27.10,5.82
2019-10-04T19:00:39.637097,22.501,28.40,5.94
2019-10-04T19:20:39.598112,21.984,28.52,5.99
2019-10-04T19:40:40.316357,22.658,27.55,5.88
2019-10-04T20:00:39.891937,23.783,28.07,5.98
2019-10-04T20:20:39.923320,22.407,26.49,5.96
2019-10-04T20:40:39.987472,22.729,28.72,5.84
2019-10-04T21:00:39.617737,22.21,21.17,5.99
2019-10-04T21:20:39.748113,24.143,23.51,5.99
2019-10-04T21:40:40.508693,22.468,22.91,5.90
2019-10-04T22:00:47.119438,22.775,13.11,5.99
2019-10-04T22:20:40.060450,25.289,27.88,5.91
2019-10-04T22:40:43.002320,23.724,8.21,5.99
2019-10-04T23:00:40.625551,22.871,13.90,6.01
2019-10-04T23:20:39.494941,22.764,28.41,5.98
2019-10-04T23:40:39.934785,22.444,22.95,6.01
2019-10-05T00:00:39.692315,22.276,26.04,5.96
2019-10-05T00:20:39.530487,22.54,26.51,5.97
2019-10-05T00:40:40.289565,22.566,28.37,6.03
2019-10-05T01:00:40.222199,22.442,28.26,5.82
2019-10-05T01:20:40.225184,22.283,26.98,5.73
2019-10-05T01:40:39.814699,21.922,27.64,5.99
2019-10-05T02:00:39.193615,22.573,27.27,5.95
2019-10-05T02:20:40.275182,22.518,28.15,5.96
2019-10-05T02:40:39.965441,22.665,27.01,5.91
2019-10-05T03:00:39.468782,22.27,27.06,6.02
2019-10-05T03:20:40.280470,22.591,28.31,5.94
2019-10-05T03:40:39.992953,22.511,27.43,5.85
2019-10-05T04:00:39.461765,23.472,27.43,5.99
2019-10-05T04:20:44.238727,22.188,17.27,5.88
2019-10-05T04:40:39.965422,22.87,28.28,5.84
2019-10-05T05:00:39.643669,22.384,27.30,5.94
2019-10-05T05:20:39.860466,22.799,27.71,5.85
2019-10-05T05:40:40.920009,25.008,25.05,5.94
2019-10-05T06:00:39.456842,22.848,27.59,5.87
2019-10-05T06:20:40.383861,22.954,26.15,5.89
2019-10-05T06:40:40.067040,21.922,27.12,5.92
2019-10-05T07:00:42.757434,22.528,28.58,5.82
2019-10-05T07:20:39.692786,22.481,28.10,5.92
2019-10-05T07:40:40.356858,22.793,27.08,5.93
2019-10-05T08:00:40.172527,22.747,27.96,5.92
2019-10-05T08:20:40.006740,22.206,27.82,5.94
2019-10-05T08:40:39.666499,22.335,27.51,6.02
2019-10-05T09:00:40.150052,22.344,28.61,6.04
2019-10-05T09:20:40.147321,22.015,28.08,5.98
2019-10-05T09:40:39.779980,21.661,27.48,5.96
2019-10-05T10:00:39.227826,22.809,27.28,5.95
2019-10-05T10:20:39.927258,21.925,27.65,5.95
2019-10-05T10:40:39.614142,22.172,27.46,5.99
2019-10-05T11:00:40.263692,22.212,27.82,5.98
2019-10-05T11:20:40.017504,22.314,27.46,6.02
2019-10-05T11:40:39.484890,22.385,27.02,5.90
2019-10-05T12:00:39.981826,21.968,28.12,6.03
2019-10-05T12:20:40.063686,21.959,26.90,5.88
2019-10-05T12:40:39.579516,21.856,27.70,5.92
2019-10-05T13:00:40.043514,22.112,27.64,6.00
2019-10-05T13:20:40.186743,22.196,28.37,5.89
2019-10-05T13:40:39.401817,21.667,28.56,5.96
2019-10-05T14:00:39.991835,22.089,27.56,6.03
2019-10-05T14:20:39.591009,22.005,26.97,5.93
2019-10-05T14:40:40.044066,22.106,26.79,6.01
2019-10-05T15:00:39.833031,22.271,28.28,6.05
2019-10-05T15:20:39.856055,22.29,27.77,5.91
2019-10-05T15:40:39.346239,23.074,28.47,6.02
2019-10-05T16:00:40.169468,22.567,28.05,5.94
2019-10-05T16:20:40.074561,21.85,28.12,5.92
2019-10-05T16:40:39.823236,21.718,27.60,5.94
2019-10-05T17:00:39.492294,23.52,27.71,5.92
2019-10-05T17:20:39.889259,23.746,27.91,5.97
2019-10-05T17:40:39.651597,22.778,27.90,5.94
2019-10-05T18:00:40.147849,22.516,28.13,5.95
2019-10-05T18:20:39.946014,23.097,23.39,5.93
2019-10-05T18:40:39.557299,22.658,27.51,5.91
2019-10-05T19:00:40.324183,22.133,21.43,5.84
2019-10-05T19:20:40.556661,23.919,25.24,5.89
2019-10-05T19:40:40.171513,22.669,23.65,5.94
2019-10-05T20:00:39.668263,22.334,20.70,5.96
2019-10-05T20:20:39.506186,21.794,28.22,6.01
2019-10-05T20:40:41.933707,22.271,17.02,5.41
2019-10-05T21:00:39.595684,22.368,24.76,5.92
2019-10-05T21:20:41.025431,22.75,19.28,5.94
2019-10-05T21:40:39.439476,22.518,22.86,5.97
2019-10-05T22:00:45.876910,22.612,10.43,5.89
2019-10-05T22:20:45.112041,27.485,12.54,5.88
2019-10-05T22:40:39.551976,22.83,28.09,6.04
2019-10-05T23:00:40.254651,22.5,27.30,5.97
2019-10-05T23:20:51.280907,23.217,13.53,5.96
2019-10-05T23:40:40.025362,22.042,27.77,5.99
2019-10-06T00:00:39.791361,22.246,27.62,5.83
2019-10-06T00:20:39.773598,22.047,22.05,5.87
2019-10-06T00:40:40.389510,22.27,27.85,5.83
2019-10-06T01:00:40.013305,22.042,28.25,5.92
2019-10-06T01:20:39.923198,22.773,28.85,5.74
2019-10-06T01:40:39.328897,22.445,28.04,6.05
2019-10-06T02:00:40.367498,22.174,27.27,5.87
2019-10-06T02:20:40.687406,22.903,27.57,6.01
2019-10-06T02:40:40.364757,22.708,28.67,5.93
2019-10-06T03:00:40.633373,22.288,28.45,5.85
2019-10-06T03:20:39.401308,21.946,27.05,5.99
2019-10-06T03:40:40.184885,22.358,28.59,5.89
2019-10-06T04:00:39.902404,22.107,27.44,5.96
2019-10-06T04:20:40.041432,23.514,27.31,5.87
2019-10-06T04:40:39.835758,22.483,27.97,6.00
2019-10-06T05:00:39.489250,22.646,27.35,6.10
2019-10-06T05:20:39.833659,22.515,27.90,5.90
2019-10-06T05:40:39.370196,22.461,28.07,5.99
2019-10-06T06:00:40.234063,22.502,24.50,6.04
2019-10-06T06:20:40.117196,22.542,27.69,5.98
2019-10-06T06:40:39.863553,22.323,28.24,5.83
2019-10-06T07:00:42.893486,22.266,27.73,5.95
2019-10-06T07:20:40.163087,22.26,28.19,6.00
2019-10-06T07:40:39.676041,22.147,27.53,6.02
2019-10-06T08:00:40.318046,22.442,28.31,5.91
2019-10-06T08:20:40.141980,22.022,27.15,6.03
2019-10-06T08:40:39.819309,21.99,27.36,5.95
2019-10-06T09:00:39.124634,22.588,26.74,5.94
2019-10-06T09:20:40.163038,21.969,26.93,5.99
2019-10-06T09:40:39.533701,22.277,27.45,6.01
2019-10-06T10:00:40.285551,22.475,27.81,5.97
2019-10-06T10:20:40.191457,22.314,28.88,5.94
2019-10-06T10:40:39.952685,21.825,28.36,5.91
2019-10-06T11:00:43.390390,22.35,28.86,3.81
2019-10-06T11:20:40.198028,21.886,27.89,6.02
2019-10-06T11:40:39.877171,22.07,28.27,6.02
2019-10-06T12:00:39.587106,23.144,27.84,5.92
2019-10-06T12:20:39.693536,22.42,28.42,5.96
2019-10-06T12:40:40.145383,22.309,27.93,5.98
2019-10-06T13:00:39.727022,22.187,28.10,5.95
2019-10-06T13:20:39.742837,21.996,27.41,5.88
2019-10-06T13:40:40.162198,22.234,27.60,5.97
2019-10-06T14:00:39.915767,22.22,27.54,6.00
2019-10-06T14:20:39.788816,22.395,26.10,5.91
2019-10-06T14:40:39.527149,21.998,28.02,5.98
2019-10-06T15:00:39.930944,22.155,28.00,6.00
2019-10-06T15:20:39.806254,22.275,27.33,6.03
2019-10-06T15:40:39.867717,22.189,27.55,5.87
2019-10-06T16:00:39.964775,22.897,27.30,5.83
2019-10-06T16:20:39.700862,22.066,27.05,5.89
2019-10-06T16:40:40.382843,22.554,28.39,6.04
2019-10-06T17:00:39.918971,22.205,28.56,5.94
2019-10-06T17:20:39.793947,22.486,27.91,5.79
2019-10-06T17:40:39.455119,22.886,27.31,5.99
2019-10-06T18:00:39.867707,22.495,23.26,5.94
2019-10-06T18:20:39.675098,22.045,19.79,5.96
2019-10-06T18:40:40.221761,25.001,26.71,6.02
2019-10-06T19:00:40.475282,22.056,27.59,5.83
2019-10-06T19:20:39.398152,23.94,27.35,5.86
2019-10-06T19:40:39.798471,22.757,27.64,5.99
2019-10-06T20:00:45.699005,23.251,11.62,5.50
2019-10-06T20:20:49.922296,22.363,14.35,3.87
2019-10-06T20:40:44.735138,27.02,12.99,5.30
2019-10-06T21:00:47.735544,22.226,12.09,4.77
2019-10-06T21:20:39.952050,22.018,26.95,5.87
2019-10-06T21:40:39.777317,22.017,27.31,5.90
2019-10-06T22:00:39.550117,22.54,28.21,5.94
2019-10-06T22:20:39.348222,23.252,26.99,5.96
2019-10-06T22:40:40.116431,22.263,27.95,5.85
2019-10-06T23:00:39.783339,22.556,28.14,5.87
2019-10-06T23:20:39.648810,22.125,27.78,6.02
2019-10-06T23:40:40.376651,23.182,27.86,5.89
2019-10-07T00:00:44.935546,22.511,27.95,5.96
2019-10-07T00:20:41.704796,22.263,16.50,6.07
2019-10-07T00:40:45.220009,22.297,27.38,5.86
2019-10-07T01:00:39.887571,22.362,25.03,6.03
2019-10-07T01:20:39.777168,22.157,23.29,5.99
2019-10-07T01:40:39.806334,22.18,26.60,5.87
2019-10-07T02:00:39.468434,22.338,27.28,5.92
2019-10-07T02:20:39.647465,22.052,27.05,5.98
2019-10-07T02:40:40.278055,24.187,27.68,5.97
2019-10-07T03:00:39.953515,23.366,28.01,5.92
2019-10-07T03:20:39.793471,23.617,27.93,5.99
2019-10-07T03:40:39.722983,22.778,28.79,5.84
2019-10-07T04:00:40.401158,23.085,28.98,5.87
2019-10-07T04:20:40.673956,23.603,27.96,5.78
2019-10-07T04:40:40.231221,22.654,27.59,5.84
2019-10-07T05:00:39.909732,22.89,27.91,5.87
2019-10-07T05:20:39.768166,24.859,28.15,5.90
2019-10-07T05:40:40.478894,24.062,27.90,5.84
2019-10-07T06:00:40.142083,23.213,27.47,5.75
2019-10-07T06:20:40.234761,22.382,27.77,5.96
2019-10-07T06:40:39.524729,22.322,28.21,5.94
2019-10-07T07:00:43.024314,23.465,27.71,6.02
2019-10-07T07:20:39.907611,22.235,28.73,5.91
2019-10-07T07:40:39.222846,22.479,27.34,6.03
2019-10-07T08:00:39.555923,21.918,27.86,6.00
2019-10-07T08:20:39.338851,22.42,27.36,5.96
2019-10-07T08:40:40.049224,22.359,26.82,5.91
2019-10-07T09:00:39.383521,22.454,27.63,5.92
2019-10-07T09:20:40.227986,22.282,27.29,6.00
2019-10-07T09:40:39.919579,22.335,28.12,5.93
2019-10-07T10:00:39.518469,22.315,28.40,6.00
2019-10-07T10:20:39.390446,21.891,25.92,5.91
2019-10-07T10:40:39.914639,22.289,27.64,5.97
2019-10-07T11:00:39.797382,22.423,29.04,5.83
2019-10-07T11:20:39.733695,22.087,28.50,6.08
2019-10-07T11:40:40.287193,22.47,27.59,5.87
2019-10-07T12:00:39.947660,22.003,27.95,5.91
2019-10-07T12:20:40.065381,22.269,27.45,5.86
2019-10-07T12:40:39.613687,21.927,27.63,5.99
2019-10-07T13:00:40.149527,23.429,27.64,5.99
2019-10-07T13:20:40.019250,22.135,27.65,5.99
2019-10-07T13:40:39.195313,22.525,27.54,5.99
2019-10-07T14:00:39.578470,22.013,27.12,5.96
2019-10-07T14:20:39.527929,22.34,28.92,6.01
2019-10-07T14:40:40.017300,21.601,27.95,6.01
2019-10-07T15:00:39.335881,22.194,27.29,5.96
2019-10-07T15:20:40.458860,22.021,27.07,5.88
2019-10-07T15:40:39.982798,21.939,27.42,6.00
2019-10-07T16:00:39.561729,21.989,29.22,5.94
2019-10-07T16:20:39.425433,22.626,28.43,5.99
2019-10-07T16:40:40.515563,22.419,28.11,6.00
2019-10-07T17:00:40.044970,22.517,27.91,5.96
2019-10-07T17:20:40.347024,22.341,27.93,5.85
2019-10-07T17:40:39.801204,22.776,26.84,5.97
2019-10-07T18:00:39.391526,22.525,27.24,6.01
2019-10-07T18:20:40.452124,22.326,27.42,5.88
2019-10-07T18:40:40.171139,21.886,28.28,5.98
2019-10-07T19:00:39.823678,22.134,26.75,5.93
2019-10-07T19:20:40.431376,22.022,27.19,5.86
2019-10-07T19:40:39.744799,22.368,25.44,6.02
2019-10-07T20:00:45.237112,27.527,26.11,6.02
2019-10-07T20:20:45.880408,22.985,12.78,5.16
2019-10-07T20:40:39.687792,22.117,19.26,5.87
2019-10-07T21:00:41.506772,22.483,25.90,5.49
2019-10-07T21:20:40.220118,23.257,12.53,6.03
2019-10-07T21:40:40.252457,23.524,19.92,5.98
2019-10-07T22:00:47.170949,22.8,24.23,5.85
2019-10-07T22:20:40.630640,22.227,22.45,5.87
2019-10-07T22:40:40.200403,22.255,27.81,6.04
2019-10-07T23:00:40.159983,23.311,28.40,5.93
2019-10-07T23:20:40.020333,22.453,26.45,5.85
2019-10-07T23:40:39.642473,22.526,28.48,5.88
2019-10-08T00:00:40.091345,21.761,28.12,6.03
2019-10-08T00:20:39.998917,21.974,28.08,6.04
2019-10-08T00:40:39.940321,22.288,27.20,6.03
2019-10-08T01:00:39.515776,22.673,26.95,5.90
2019-10-08T01:20:39.460775,22.844,27.86,5.93
2019-10-08T01:40:40.529215,22.962,27.91,5.84
2019-10-08T02:00:41.170099,22.277,16.63,5.84
2019-10-08T02:20:40.114148,22.622,27.15,5.74
2019-10-08T02:40:39.850529,22.538,27.79,5.94
2019-10-08T03:00:44.630500,22.365,28.35,5.72
2019-10-08T03:20:39.633091,24.803,29.45,4.78
2019-10-08T03:40:40.507923,23.373,27.79,5.58
2019-10-08T04:00:40.216643,22.434,28.15,5.82
2019-10-08T04:20:39.909198,22.66,27.98,5.93
2019-10-08T04:40:40.042766,23.038,26.84,5.86
2019-10-08T05:00:39.622112,23.665,28.15,5.97
2019-10-08T05:20:39.818133,23.632,27.27,5.84
2019-10-08T05:40:39.465296,22.479,26.88,5.92
2019-10-08T06:00:40.017234,22.879,27.93,5.94
2019-10-08T06:20:39.612241,22.285,28.51,5.99
2019-10-08T06:40:40.457058,22.211,28.02,5.73
2019-10-08T07:00:42.736681,22.588,28.60,5.95
2019-10-08T07:20:39.374501,22.749,27.86,5.89
2019-10-08T07:40:40.056973,22.337,27.68,5.95
2019-10-08T08:00:39.846261,22.554,27.91,5.96
2019-10-08T08:20:39.745294,21.951,28.61,5.89
2019-10-08T08:40:40.412716,22.391,28.48,5.96
2019-10-08T09:00:40.057207,22.028,27.08,6.00
2019-10-08T09:20:39.937254,21.831,27.26,5.97
2019-10-08T09:40:39.523961,22.05,28.13,5.90
2019-10-08T10:00:40.233222,22.256,28.43,5.99
2019-10-08T10:20:39.927866,22.141,28.43,5.98
2019-10-08T10:40:39.642150,22.13,27.88,5.96
2019-10-08T11:00:40.267149,22.448,27.86,5.97
2019-10-08T11:20:40.097227,22.029,26.66,6.00
2019-10-08T11:40:40.041253,22.145,27.82,5.85
2019-10-08T12:00:39.734973,21.69,28.55,5.89
2019-10-08T12:20:39.452996,22.608,28.09,6.05
2019-10-08T12:40:40.051102,23.096,27.95,6.03
2019-10-08T13:00:39.416320,22.665,27.38,5.97
2019-10-08T13:20:40.132169,22.108,27.77,6.00
2019-10-08T13:40:39.423943,22.077,27.66,5.93
2019-10-08T14:00:40.035668,22.484,29.39,6.02
2019-10-08T14:20:39.836857,22.182,28.18,5.89
2019-10-08T14:40:39.686150,22.276,27.00,5.91
2019-10-08T15:00:40.344359,22.652,27.51,5.87
2019-10-08T15:20:40.775157,22.159,28.18,5.99
2019-10-08T15:40:41.387909,22.064,28.58,5.32
2019-10-08T16:00:39.985129,22.778,28.50,5.93
2019-10-08T16:20:43.272358,22.003,28.43,5.81
2019-10-08T16:40:39.775757,21.74,27.11,6.00
2019-10-08T17:00:40.619151,22.659,27.49,5.18
2019-10-08T17:20:39.730984,22.151,22.51,5.89
2019-10-08T17:40:40.396114,22.277,26.79,5.96
2019-10-08T18:00:41.457229,22.7,27.35,5.13
2019-10-08T18:20:40.325239,22.858,29.08,6.01
2019-10-08T18:40:39.833499,22.224,27.74,5.96
2019-10-08T19:00:39.471546,22.775,28.55,5.92
2019-10-08T19:20:39.730466,21.946,27.61,5.98
2019-10-08T19:40:40.309895,21.99,27.27,6.01
2019-10-08T20:00:39.947793,21.902,27.16,5.94
2019-10-08T20:20:40.203561,22.161,25.81,5.95
2019-10-08T20:40:40.000946,22.217,29.14,5.90
2019-10-08T21:00:40.007996,22.088,27.96,5.91
2019-10-08T21:20:39.804996,22.076,27.87,5.90
2019-10-08T21:40:39.323672,22.668,28.10,5.95
2019-10-08T22:00:40.123265,22.433,28.23,5.98
2019-10-08T22:20:40.009262,22.226,28.48,5.89
2019-10-08T22:40:39.572227,22.22,27.27,5.86
2019-10-08T23:00:40.753495,21.876,26.99,5.90
2019-10-08T23:20:40.006147,22.203,27.08,5.93
2019-10-08T23:40:39.690535,22.016,26.98,5.86
2019-10-09T00:00:40.075870,21.901,28.90,6.02
2019-10-09T00:20:39.995639,22.061,27.38,5.99
2019-10-09T00:40:39.570567,22.316,26.91,6.00
2019-10-09T01:00:40.228865,21.783,27.81,6.01
2019-10-09T01:20:40.189337,22.035,28.66,5.91
2019-10-09T01:40:39.948736,23.989,28.75,5.89
2019-10-09T02:00:39.550659,23.114,28.22,6.02
2019-10-09T02:20:39.738551,25.207,27.57,5.86
2019-10-09T02:40:40.374594,23.848,27.31,5.97
2019-10-09T03:00:39.923560,22.345,28.74,5.84
2019-10-09T03:20:40.228917,22.828,27.60,5.87
2019-10-09T03:40:39.835182,22.345,26.76,5.93
2019-10-09T04:00:39.649526,23.436,28.47,5.97
2019-10-09T04:20:39.453917,23.285,28.20,5.86
2019-10-09T04:40:40.152514,22.538,28.33,5.86
2019-10-09T05:00:40.022633,22.762,28.54,6.05
2019-10-09T05:20:40.759490,23.555,27.50,5.87
2019-10-09T05:40:40.328483,22.924,27.65,5.92
2019-10-09T06:00:39.730824,22.879,28.14,5.98
2019-10-09T06:20:39.674401,22.331,27.78,6.02
2019-10-09T06:40:40.097398,21.763,27.04,6.01
2019-10-09T07:00:42.986859,22.384,27.99,5.90
2019-10-09T07:20:40.099360,22.219,28.02,5.93
2019-10-09T07:40:39.683020,22.033,27.26,5.95
2019-10-09T08:00:40.435311,22.874,28.82,5.86
2019-10-09T08:20:40.317549,22.338,28.34,6.00
2019-10-09T08:40:39.872032,23.336,27.83,6.05
2019-10-09T09:00:39.507929,22.388,28.46,5.97
2019-10-09T09:20:39.230912,22.666,28.45,6.04
2019-10-09T09:40:40.034857,22.221,28.86,5.92
2019-10-09T10:00:39.635973,22.972,27.74,5.95
2019-10-09T10:20:39.435566,22.689,29.01,6.00
2019-10-09T10:40:39.866248,22.482,28.20,5.99
2019-10-09T11:00:39.282988,22.697,29.03,5.98
2019-10-09T11:20:40.054838,21.627,28.71,5.86
2019-10-09T11:40:39.470036,22.347,28.44,6.02
2019-10-09T12:00:40.283944,22.091,26.96,5.86
2019-10-09T12:20:40.335672,21.96,27.75,5.91
2019-10-09T12:40:39.919693,22.295,27.66,5.98
2019-10-09T13:00:39.560349,22.585,28.62,5.88
2019-10-09T13:20:39.190303,22.544,28.30,5.97
2019-10-09T13:40:39.797049,22.212,28.69,5.85
2019-10-09T14:00:39.738431,22.125,28.50,5.69
2019-10-09T14:20:39.834267,21.88,27.75,5.99
2019-10-09T14:40:39.270657,22.861,28.67,5.94
2019-10-09T15:00:39.651314,22.988,28.46,5.96
2019-10-09T15:20:40.010510,21.647,27.46,5.85
2019-10-09T15:40:39.776557,22.332,28.07,5.89
2019-10-09T16:01:10.268384,22.105,28.35,5.99
2019-10-09T16:20:40.056560,22.172,28.76,5.96
2019-10-09T16:40:39.671085,22.229,29.04,5.95
2019-10-09T17:00:40.675312,22.754,28.42,5.99
2019-10-09T17:20:39.728348,21.724,27.15,5.99
2019-10-09T17:40:40.560090,22.015,27.34,5.87
2019-10-09T18:00:40.184147,21.761,27.55,5.90
2019-10-09T18:20:40.263272,22.83,28.51,5.93
2019-10-09T18:40:39.846439,23.197,28.59,6.03
2019-10-09T19:00:39.514987,22.841,26.70,6.01
2019-10-09T19:20:39.430722,22.527,27.48,5.92
2019-10-09T19:40:39.778935,22.205,27.94,6.03
2019-10-09T20:00:39.437812,22.724,27.90,5.83
2019-10-09T20:20:40.143436,21.903,27.47,5.94
2019-10-09T20:40:39.753619,21.706,27.21,5.96
2019-10-09T21:00:40.333758,22.292,28.29,5.98
2019-10-09T21:20:40.356694,22.839,26.35,5.95
2019-10-09T21:40:40.388811,22.15,26.45,5.92
2019-10-09T22:00:40.263448,22.003,28.61,5.83
2019-10-09T22:20:40.479962,22.631,28.13,5.96
2019-10-09T22:40:40.389768,22.58,28.27,5.99
2019-10-09T23:00:40.051485,22.792,28.83,6.02
2019-10-09T23:20:40.003036,21.949,27.16,5.95
2019-10-09T23:40:39.513092,22.371,28.21,5.93
2019-10-10T00:00:42.182862,23.49,28.57,5.08
2019-10-10T00:20:40.405299,23.205,28.31,4.75
2019-10-10T00:40:40.183059,22.609,27.15,5.72
2019-10-10T01:00:40.012303,24.21,28.63,5.89
2019-10-10T01:20:40.239934,22.659,28.06,5.84
2019-10-10T01:40:40.268777,22.206,25.91,5.98
2019-10-10T02:00:40.234233,22.807,27.45,5.97
2019-10-10T02:20:40.340817,22.997,28.07,5.99
2019-10-10T02:40:40.452885,22.689,27.09,5.93
2019-10-10T03:00:40.193304,23.417,29.12,5.97
